Restaurant Name,Rating,Reviews,Cuisine,Address,City,Restaurant URL,Image URL
The Joint Bar & Cafe,4.2,1079.0,"North Indian, South Indian, Chinese","8, Banjara Hills, Hyderabad.",Hyderabad,/hyderabad/the-joint-bar-cafe-banjara-hills/info,https://b.zmtcdn.com/data/pictures/4/18952144/a40111cd0c40ed57c95976906e7c21b1_featured_v2.jpg
Daily Rituals,4.5,14.0,"Continental, Hyderabadi, Bar Food","D.8-2-293/82/A/1181, Plot 1181, Sy.403/1 (Old), 120 (New), Phase-1, Co-op House Building Society Ltd, Cable Bridge Road, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/daily-rituals-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/5/21240405/616804f90eb785e79d10e2de977f80c2_featured_v2.jpg
The Sanctuary Bar & Kitchen,4.4,5056.0,"Continental, Italian, Asian","Plot 29, Road 1, Film Nagar, Hyderabad",Hyderabad,/hyderabad/the-sanctuary-bar-kitchen-film-nagar/info,https://b.zmtcdn.com/data/pictures/0/19458910/217bab8babb2c7577cce6a0fc8a5572d_featured_v2.jpg
63 Degrees Modern Regional Buffet,4.5,1376.0,"North Indian, Desserts, Chinese","28, Plot 25, 2nd Floor, Mindspace Road, pposite Meenakshi Bamboos Road, P Janardhan Reddy Nagar, Gachibowli, Hitech City, Hyderabad",Hyderabad,/hyderabad/63-degrees-modern-regional-buffet-hitech-city/info,https://b.zmtcdn.com/data/pictures/3/20997853/c6bb43341028e3b58d8e229c94910338_featured_v2.jpg
Zythum Brewing Co.,4.3,9609.0,"Continental, Pizza, North Indian","74 A, Park View Enclave, Check Post Road, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/zythum-brewing-co-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/3/20598223/d22c4c8ad62777bc52247fbda9e40fe9_featured_v2.jpg
Red Rhino,4.4,20.0,"Chinese, Asian, North Indian","Western Dallas Center, Silpa Gram Craft Village, Rai Durg, Main Road, Madhapur, Hyderabad",Hyderabad,/hyderabad/red-rhino-madhapur/info,https://b.zmtcdn.com/data/pictures/0/20236950/e4c0190edad7bfe9c1411ab5b9c5a455_featured_v2.jpg
The Moonshine Project,4.2,1903.0,"Bar Food, Oriental, North Indian","385, Road 82, Phase III, Jubilee Hills, Hyderabad",Hyderabad,/hyderabad/the-moonshine-project-jubilee-hills/info,https://b.zmtcdn.com/data/pictures/3/18228803/8c2f96588dd94a76ef3b9e1bdd963af3_featured_v2.jpg
AKINA,4.6,1268.0,"Japanese, Asian, Chinese","Terrace, THE LOFT, Hitech City, Hyderabad",Hyderabad,/hyderabad/akina-hitech-city/info,https://b.zmtcdn.com/data/pictures/0/21839950/b261b939260f6af36598e484e5446c55_featured_v2.jpg
SA MA - The Indian Kitchen,4.3,619.0,"North Indian, South Indian, Mughlai","Plot 5, MLA Colony, Film Nagar, Hyderabad",Hyderabad,/hyderabad/sa-ma-the-indian-kitchen-film-nagar/info,https://b.zmtcdn.com/data/pictures/3/21585493/da1002772b207fe8bd26ac531f393dbe_featured_v2.jpg
Mamalola Penthouse Bar & Kitchen,4.3,11.0,"Continental, Modern Indian, Asian","Level-13, The District, Myscape Road, Financial District, Hyderabad",Hyderabad,/hyderabad/mamalola-penthouse-bar-kitchen-financial-district/info,https://b.zmtcdn.com/data/pictures/1/20890841/2fd2210a8d052b369dd4049290fe4c01_featured_v2.jpg
